29
1730 865 346 529 459 386 360 302 254 213 178 150 119 100 84 66 529 459 386 360 302 254 213 178 150 119 100 84 66
1855 927 371 568 492 413 386 324 272 228 191 161 128 107 90 71 568 492 413 386 324 272 228 191 161 128 107 90 71
1980 990 396 606 525 441 412 346 290 244 204 171 137 115 96 76 606 525 441 412 346 290 244 204 171 137 115 96 76
1855 927 371 568 492 413 386 324 272 228 191 161 128 107 90 71 568 492 413 386 324 272 228 191 161 128 107 90 71
1980 990 396 606 525 441 412 346 290 244 204 171 137 115 96 76 606 525 441 412 346 290 244 204 171 137 115 96 76
2105 1052 421 644 558 469 438 367 308 259 217 182 145 122 102 80 644 558 469 438 367 308 259 217 182 145 122 102 80
2230 1115 446 682 592 497 464 389 327 274 230 193 154 129 108 85 682 592 497 464 389 327 274 230 193 154 129 108 85
2355 1177 471 720 625 525 490 411 345 290 243 204 163 136 114 90 720 625 525 490 411 345 290 243 204 163 136 114 90
2480 1240 496 758 658 552 516 433 363 305 256 215 171 144 120 95 758 658 552 516 433 363 305 256 215 171 144 120 95
2605 1302 521 797 691 580 541 455 382 321 269 226 180 151 126 100 797 691 580 541 455 382 321 269 226 180 151 126 100
2730 1365 546 835 724 608 567 476 400 336 282 236 189 158 133 104 835 724 608 567 476 400 336 282 236 189 158 133 104
2855 1427 571 873 757 636 593 498 418 351 295 247 197 165 139 109 873 757 636 593 498 418 351 295 247 197 165 139 109
2980 1490 596 911 790 664 619 520 437 367 307 258 206 173 145 114 911 790 664 619 520 437 367 307 258 206 173 145 114
3105 1552 621 949 823 692 645 542 455 382 320 269 215 180 151 119 949 823 692 645 542 455 382 320 269 215 180 151 119
3230 1615 646 988 857 719 671 564 473 397 333 280 223 187 157 124 988 857 719 671 564 473 397 333 280 223 187 157 124
3355 1677 671 1026 890 747 697 585 491 413 346 290 232 194 163 128 1026 890 747 697 585 491 413 346 290 232 194 163 128
3480 1740 696 1064 923 775 723 607 510 428 359 301 241 202 169 133 1064 923 775 723 607 510 428 359 301 241 202 169 133
3605 1802 721 1102 956 803 749 629 528 444 372 312 249 209 175 138 1102 956 803 749 629 528 444 372 312 249 209 175 138
3793 1896 758 1159 1006 845 788 662 556 467 391 328 262 220 184 145 1159 1006 845 788 662 556 467 391 328 262 220 184 145
4043 2021 808 1236 1072 900 840 705 592 497 417 350 279 234 196 155 1236 1072 900 840 705 592 497 417 350 279 234 196 155
4293 2146 858 1312 1138 956 892 749 629 528 443 372 297 249 209 164 1312 1138 956 892 749 629 528 443 372 297 249 209 164
4543 2271 908 1389 1204 1012 944 793 665 559 469 393 314 263 221 174 1389 1204 1012 944 793 665 559 469 393 314 263 221 174
4793 2396 958 1465 1271 1067 996 836 702 590 494 415 331 278 233 184 1465 1271 1067 996 836 702 590 494 415 331 278 233 184
5043 2521 1008 1541 1337 1123 1048 880 739 620 520 437 349 292 245 193 1541 1337 1123 1048 880 739 620 520 437 349 292 245 193
